,GasLimit,GasUsage,Value,Method,Args
0,673843,673843 (100%),0 Ether ($0.00) ,0x60806040,[]
1,43031,43031 (100%),0 Ether ($0.00) ,AdjustDifficulty,"[['uint256', '8']]"
2,42008,42008 (100%),0 Ether ($0.00) ,OpenToThePublic,[]
3,21040,21040 (100%),0.1 Ether  ($177.78) ,Transfer,[]
4,95677,63785 (66.67%),0.01 Ether  ($17.78) ,wager,[]
5,322303,154869 (48.05%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
6,31560,21040 (66.67%),0.15 Ether  ($266.22) ,Transfer,[]
7,95677,63785 (66.67%),0.01 Ether  ($17.75) ,wager,[]
8,299803,139869 (46.65%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
9,95677,63785 (66.67%),0.01 Ether  ($17.75) ,wager,[]
10,7600027,139869 (1.84%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
11,95677,63785 (66.67%),0.01 Ether  ($17.75) ,wager,[]
12,7600531,139869 (1.84%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
13,95677,63785 (66.67%),0.01 Ether  ($17.75) ,wager,[]
14,299803,139869 (46.65%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
15,21040,21040 (100%),0.1 Ether  ($177.48) ,Transfer,[]
16,31560,21040 (66.67%),0.1 Ether  ($177.48) ,Transfer,[]
17,95677,63785 (66.67%),0.01 Ether  ($17.75) ,wager,[]
18,299803,139869 (46.65%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
19,95677,63785 (66.67%),0.01 Ether  ($17.74) ,wager,[]
20,299803,139869 (46.65%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
21,76542,63785 (83.33%),0.01 Ether  ($17.74) ,wager,[]
22,239842,139869 (58.32%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
23,95677,63785 (66.67%),0.01 Ether  ($17.74) ,wager,[]
24,299803,139869 (46.65%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
25,76542,63785 (83.33%),0.01 Ether  ($17.74) ,wager,[]
26,239842,139869 (58.32%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
27,95677,63785 (66.67%),0.01 Ether  ($17.74) ,wager,[]
28,65773,21521 (32.72%),0 Ether ($0.00) ,play,"[['', '0xc492e8284c4a3caeada85b975a82979b3e8dac6e']]"
29,76542,63785 (83.33%),0.01 Ether  ($17.74) ,wager,[]
30,239697,139748 (58.3%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
31,76542,63785 (83.33%),0.01 Ether  ($17.74) ,wager,[]
32,52618,21521 (40.9%),0 Ether ($0.00) ,play,"[['', '0xba21d01125d6932ce8abf3625977899fd2c7fa30']]"
33,76542,63785 (83.33%),0.01 Ether  ($17.74) ,wager,[]
34,239697,139748 (58.3%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
35,76542,63785 (83.33%),0.01 Ether  ($17.74) ,wager,[]
36,239697,139748 (58.3%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
37,76542,63785 (83.33%),0.01 Ether  ($17.74) ,wager,[]
38,600000,139748 (23.29%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
39,600000,22143 (3.69%),0 Ether ($0.00) ,play,[]
40,95677,63785 (66.67%),0.01 Ether  ($17.75) ,wager,[]
41,299622,139748 (46.64%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
42,95677,63785 (66.67%),0.01 Ether  ($17.75) ,wager,[]
43,299622,139748 (46.64%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
44,95677,63785 (66.67%),0.01 Ether  ($17.75) ,wager,[]
45,299622,139748 (46.64%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
46,95677,63785 (66.67%),0.01 Ether  ($17.75) ,wager,[]
47,299622,139748 (46.64%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
48,76542,63785 (83.33%),0.01 Ether  ($17.75) ,wager,[]
49,600000,21521 (3.59%),0 Ether ($0.00) ,play,"[['', '0xc492e8284c4a3caeada85b975a82979b3e8dac6e']]"
50,76542,63785 (83.33%),0.01 Ether  ($17.75) ,wager,[]
51,239697,139748 (58.3%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
52,76542,63785 (83.33%),0.01 Ether  ($17.75) ,wager,[]
53,239697,139748 (58.3%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
54,95677,63785 (66.67%),0.01 Ether  ($17.75) ,wager,[]
55,299622,139748 (46.64%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
56,95677,63785 (66.67%),0.01 Ether  ($17.75) ,wager,[]
57,299622,139748 (46.64%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
58,95677,63785 (66.67%),0.01 Ether  ($17.75) ,wager,[]
59,299622,139748 (46.64%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
60,76542,63785 (83.33%),0.01 Ether  ($17.73) ,wager,[]
61,95677,63785 (66.67%),0.01 Ether  ($17.73) ,wager,[]
62,65773,21521 (32.72%),0 Ether ($0.00) ,play,"[['', '0x4906e4f95ad546ce865916f65c825e00630bffa8']]"
63,95677,63785 (66.67%),0.01 Ether  ($17.73) ,wager,[]
64,299622,139748 (46.64%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
65,76542,63785 (83.33%),0.01 Ether  ($17.73) ,wager,[]
66,239697,139748 (58.3%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
67,82920,63785 (76.92%),0.01 Ether  ($17.73) ,wager,[]
68,259672,139748 (53.82%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
69,95677,63785 (66.67%),0.01 Ether  ($17.73) ,wager,[]
70,75926,75926 (100%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c']]"
71,299622,139748 (46.64%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
72,95677,63785 (66.67%),0.01 Ether  ($17.75) ,wager,[]
73,299440,139627 (46.63%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
74,95677,63785 (66.67%),0.01 Ether  ($17.75) ,wager,[]
75,65773,21521 (32.72%),0 Ether ($0.00) ,play,"[['', '0x4cd925321407b9c0182329dcc99e6e76723cd388']]"
76,65773,22143 (33.67%),0 Ether ($0.00) ,play,[]
